วันที่,รหัสหวย,รางวัลทั้งหมด,4ตัวบน,3ตัวบน,2ตัวล่าง
2026-05-04,VNSPCb,,,,
2026-05-04,VNLOT,,,,
2026-05-04,VNVIP,,,,
2026-05-04,LV_R07,"{'lottoType': 'LV_R07', 'mainNumber': '822535', 'B4': '8225', 'B3': '225', 'B2': '25', 'L2': '35', 'T4': '2258', 'T3': '225', 'L3': []}",,,
2026-05-04,SZSE_1,,,,
2026-05-04,DJI,,,,
2026-05-03,LAHD,"{'lottoType': 'LAHD', 'mainNumber': '91486', 'B4': '1486', 'B3': '486', 'B2': '86', 'L3': [], 'L2': '91'}",,,
2026-05-03,LV_R37,"{'lottoType': 'LV_R37', 'mainNumber': '485205', 'B4': '4852', 'B3': '852', 'B2': '52', 'L2': '05', 'T4': '2458', 'T3': '258', 'L3': []}",,,
2026-05-03,NKYVIP_2,"{'lottoType': 'NKYVIP_2', 'mainNumber': '535', 'B3': '535', 'B2': '35', 'L3': [], 'L2': '00'}",,,
2026-05-03,LV_R40,"{'lottoType': 'LV_R40', 'mainNumber': '658179', 'B4': '6581', 'B3': '581', 'B2': '81', 'L2': '79', 'T4': '1568', 'T3': '158', 'L3': []}",,,
2026-05-03,SZSEVIP_2,"{'lottoType': 'SZSEVIP_2', 'mainNumber': '881', 'B3': '881', 'B2': '81', 'L3': [], 'L2': '83'}",,,
2026-05-03,VNKCH,"{'lottoType': 'VNKCH', 'mainNumber': '1904', 'B4': '1904', 'B3': '904', 'B2': '04', 'L3': [], 'L2': '44'}",,,
2026-05-03,LV_R43,"{'lottoType': 'LV_R43', 'mainNumber': '631818', 'B4': '6318', 'B3': '318', 'B2': '18', 'L2': '18', 'T4': '1368', 'T3': '138', 'L3': []}",,,
2026-05-03,LV_R45,"{'lottoType': 'LV_R45', 'mainNumber': '410968', 'B4': '4109', 'B3': '109', 'B2': '09', 'L2': '68', 'T4': '0149', 'T3': '019', 'L3': []}",,,
2026-05-03,LV_R47,"{'lottoType': 'LV_R47', 'mainNumber': '373372', 'B4': '3733', 'B3': '733', 'B2': '33', 'L2': '72', 'T4': '3337', 'T3': '337', 'L3': []}",,,
2026-05-03,LV_R48,"{'lottoType': 'LV_R48', 'mainNumber': '899783', 'B4': '8997', 'B3': '997', 'B2': '97', 'L2': '83', 'T4': '7899', 'T3': '799', 'L3': []}",,,
2026-05-03,LV_R49,"{'lottoType': 'LV_R49', 'mainNumber': '083470', 'B4': '0834', 'B3': '834', 'B2': '34', 'L2': '70', 'T4': '0348', 'T3': '348', 'L3': []}",,,
2026-05-03,LATKVIP,"{'lottoType': 'LATKVIP', 'mainNumber': '55588', 'B3': '588', 'B2': '88', 'L3': [], 'L2': '55'}",,,
2026-05-03,LV_R50,"{'lottoType': 'LV_R50', 'mainNumber': '456646', 'B4': '4566', 'B3': '566', 'B2': '66', 'L2': '46', 'T4': '4566', 'T3': '566', 'L3': []}",,,
2026-05-03,VNSPCb,"{'lottoType': 'VNSPCb', 'mainNumber': '5237', 'B4': '5237', 'B3': '237', 'B2': '37', 'L3': [], 'L2': '10'}",,,
2026-05-03,LV_R52,"{'lottoType': 'LV_R52', 'mainNumber': '777349', 'B4': '7773', 'B3': '773', 'B2': '73', 'L2': '49', 'T4': '3777', 'T3': '377', 'L3': []}",,,
